OID_,ชุมชน,รหัสเขต,รหัสไปรษณีย์,รหัสประเภทชุมชน,ละติจูด,ลองจิจูด,เขต,แขวง,ประเภทชุมชน,ประชากร,โรงพยาบาลใกล้ที่สุด,ระยะทาง(เมตร)
1228,ชุมชนหมู่บ้านสินพัฒนาธานี,1048,104801,5,13.74147207,100.3396879,เขตทวีวัฒนา,แขวงทวีวัฒนา,ชุมชนเมือง,1787,สถาบันกัลยาณ์ราชนครินทร์,2381.817297
1233,ชุมชนหมู่บ้านสุขทวี 1-2,1048,104802,5,13.79500256,100.3503616,เขตทวีวัฒนา,แขวงศาลาธรรมสพน์,ชุมชนเมือง,708,สถาบันกัลยาณ์ราชนครินทร์,4205.533793
1234,ชุมชนคลองเก้าห้อง,1049,104902,5,13.60475156,100.5086337,เขตทุ่งครุ,แขวงทุ่งครุ,ชุมชนเมือง,709,โรงพยาบาลสุขสวัสดิ์,7924.368745
1593,ชุมชนโกสุมรวมใจ 1,1036,103604,5,13.90059456,100.5867011,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง,1868,โรงพยาบาลจุฬาภรณ์,2385.27352
1452,ชุมชนหมู่บ้านสุขสมบูรณ์,1042,104203,5,13.88978067,100.6147826,เขตสายไหม,แขวงคลองถนน,ชุมชนเมือง,541,โรงพยาบาลซีจีเอชโรงพยาบาลทั่วไปขนาดใหญ่,863.0202434
29,ชุมชนแฟลตสถานีตำรวจนครบาลมักกะสัน,1017,101702,6,13.74831085,100.57732,เขตห้วยขวาง,แขวงบางกะปิ,ชุมชนอาคารสูง,239,โรงพยาบาลวัฒนโนสถอินเตอร์,552.7789779
158,ชุมชนสนามเป้า,1014,101401,6,13.76997932,100.5428134,เขตพญาไท,แขวงสามเสนใน,ชุมชนอาคารสูง,3870,โรงพยาบาลพญาไท 2,256.0557031
352,ชุมชนซอยหงษ์ทอง,1018,101803,1,13.71939715,100.4940331,เขตคลองสาน,แขวงบางลำภูล่าง,ชุมชนแออัด,505,โรงพยาบาลสมิติเวช ธนบุรี,753.8195159
518,ชุมชนแผ่นดินทองภักดีธรรม,1003,100305,2,13.84676205,100.807899,เขตหนองจอก,แขวงโคกแฝด,ชุมชนชานเมือง,567,โรงพยาบาลเวชการุณย์รัศมิ์,5642.752753
2012,ชุมชนแฟลตสถานีตำรวจนครบาลพญาไท,1037,103701,6,13.75919083,100.5305175,เขตราชเทวี,แขวงทุ่งพญาไท,ชุมชนอาคารสูง,520,โรงพยาบาลสถาบันโรคไตภูมิราชนครินทร์,466.3982856
2011,ชุมชนคลองสิงห์โต,1032,103203,2,13.69482928,100.7036598,เขตประเวศ,แขวงดอกไม้,ชุมชนชานเมือง,436,โรงพยาบาลสิรินธร,2609.900149
1229,ชุมชนวัดปุรณาวาส,1048,104802,2,13.80218729,100.3358436,เขตทวีวัฒนา,แขวงศาลาธรรมสพน์,ชุมชนชานเมือง,1043,สถาบันกัลยาณ์ราชนครินทร์,4513.219037
1230,ชุมชนหลังสถานีรถไฟศาลาธรรมสพน์,1048,104802,2,13.80100342,100.3767211,เขตทวีวัฒนา,แขวงศาลาธรรมสพน์,ชุมชนชานเมือง,676,โรงพยาบาลธนบุรี 2,3276.427285
1231,ชุมชนประตูน้ำฉิมพลี,1048,104802,2,13.80036112,100.3944398,เขตทวีวัฒนา,แขวงศาลาธรรมสพน์,ชุมชนชานเมือง,900,โรงพยาบาลธนบุรี 2,2039.080329
1236,ชุมชนหมู่ 6 ทุ่งครุ,1049,104902,5,13.62024554,100.51156,เขตทุ่งครุ,แขวงทุ่งครุ,ชุมชนเมือง,1845,โรงพยาบาลสุขสวัสดิ์,6271.511727
1237,ชุมชนหลังสน. ทุ่งครุ,1049,104902,5,13.62502279,100.5108325,เขตทุ่งครุ,แขวงทุ่งครุ,ชุมชนเมือง,259,โรงพยาบาลสุขสวัสดิ์,5737.49171
1238,ชุมชนประชาอุทิศ 68,1049,104902,5,13.63422651,100.5001324,เขตทุ่งครุ,แขวงทุ่งครุ,ชุมชนเมือง,1374,โรงพยาบาลสุขสวัสดิ์,4621.888362
1239,ชุมชนชมทรัพย์,1049,104902,5,13.64354469,100.5048682,เขตทุ่งครุ,แขวงทุ่งครุ,ชุมชนเมือง,4202,โรงพยาบาลสุขสวัสดิ์,3613.543934
1240,ชุมชนศรีสมิต,1049,104901,5,13.64431615,100.4998726,เขตทุ่งครุ,แขวงบางมด,ชุมชนเมือง,418,โรงพยาบาลสุขสวัสดิ์,3506.862951
1241,ชุมชนอัตตักวา,1049,104901,5,13.64793114,100.5000063,เขตทุ่งครุ,แขวงบางมด,ชุมชนเมือง,450,โรงพยาบาลสุขสวัสดิ์,3106.653019
1244,ชุมชนหมู่ 2 บางมด,1049,104901,5,13.6508383,100.4855679,เขตทุ่งครุ,แขวงบางมด,ชุมชนเมือง,876,โรงพยาบาลสุขสวัสดิ์,3248.300893
1265,ชุมชนร่วมพัฒนา,1047,104701,5,13.66140568,100.5989246,เขตบางนา,แขวงบางนา,ชุมชนเมือง,738,โรงพยาบาลมนารมย์,470.3271913
2013,ชุมชนกรมการสารวัตรทหารบก,1037,103701,6,13.76264459,100.533305,เขตราชเทวี,แขวงทุ่งพญาไท,ชุมชนอาคารสูง,515,สถาบันสุขภาพเด็กแห่งชาติมหาราชินี,359.2094845
353,ชุมชนวัดทองเพลง,1018,101804,1,13.72404657,100.5009695,เขตคลองสาน,แขวงคลองต้นไทร,ชุมชนแออัด,571,สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา,868.6817751
1968,ชุมชนพินิจสินละออ,1041,104101,2,13.89918871,100.5818708,เขตหลักสี่,แขวงทุ่งสองห้อง,ชุมชนชานเมือง,495,โรงพยาบาลจุฬาภรณ์,2083.159153
1243,ชุมชนหมู่ 3 บางมด,1049,104901,2,13.65307501,100.4742955,เขตทุ่งครุ,แขวงบางมด,ชุมชนชานเมือง,363,โรงพยาบาลคูน,2544.995575
554,ชุมชนซอยศาสนา,1003,100301,2,13.84584295,100.8594404,เขตหนองจอก,แขวงกระทุ่มราย,ชุมชนชานเมือง,317,โรงพยาบาลเวชการุณย์รัศมิ์,1242.131882
1310,ชุมชนหัวบ้านคลองบางเลา,1044,104401,2,13.78035746,100.7081896,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง,494,โรงพยาบาล รามคำแหง 2,1286.903812
1308,ชุมชนหมู่บ้านอมรพันธ์นครเสรีไทย,1043,104301,5,13.79779459,100.6896347,เขตคันนายาว,แขวงคันนายาว,ชุมชนเมือง,304,โรงพยาบาล รามคำแหง 2,1797.721211
1318,ชุมชนหมู่บ้านนักกีฬาแหลมทอง,1044,104401,5,13.74513339,100.6951926,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนเมือง,9366,โรงพยาบาลสิรินธร,3254.28802
1322,ชุมชนหมู่บ้านเคหะนคร (เคหะธานี 4),1044,104401,5,13.78036476,100.7084394,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนเมือง,5880,โรงพยาบาล รามคำแหง 2,1293.65855
82,ชุมชนวังกรมพระสมมตอมรพันธ์,1001,100104,5,13.75270185,100.5024003,เขตพระนคร,แขวงสำราญราษฎร์,ชุมชนเมือง,ไม่พบ,โรงพยาบาลกลาง,988.1628236
120,ชุมชนซอยวัดม่วงแคมัสยิดฮารูณ,1004,100404,5,13.72535038,100.5154205,เขตบางรัก,แขวงบางรัก,ชุมชนเมือง,935,โรงพยาบาลไอเอ็มเอช สีลม,422.5637569
584,ชุมชนคานเรือ,1022,102201,5,13.71051631,100.4321034,เขตภาษีเจริญ,แขวงบางหว้า,ชุมชนเมือง,449,โรงพยาบาลมิตรประชา,139.5030647
1349,ชุมชนไทยเอราวัณ หมู่ 8,1046,104603,5,13.84760117,100.7073384,เขตคลองสามวา,แขวงบางชัน,ชุมชนเมือง,329,โรงพยาบาลนพรัตน์ราชธานี,3988.526797
1611,ชุมชนกำแพงทองพัฒนา,1022,102206,5,13.72959843,100.4630476,เขตภาษีเจริญ,แขวงบางจาก,ชุมชนเมือง,2040,โรงพยาบาลบางไผ่,535.0382652
1614,ชุมชนจันทร์รวมใจ,1022,102202,5,13.72859701,100.4365405,เขตภาษีเจริญ,แขวงบางด้วน,ชุมชนเมือง,1200,โรงพยาบาลผู้สูงอายุเฌ้อสเซอรี่ โฮม,1207.523544
1615,ชุมชนกัลปพฤกษ์ หมู่ 4,1022,102201,5,13.71278792,100.4517928,เขตภาษีเจริญ,แขวงบางหว้า,ชุมชนเมือง,975,โรงพยาบาลพญาไท 3,1740.375808
1616,ชุมชนหมู่ 6 ร่วมใจ,1022,102201,5,13.71400042,100.4454205,เขตภาษีเจริญ,แขวงบางหว้า,ชุมชนเมือง,220,โรงพยาบาลมิตรประชา,1491.6442
1591,ชุมชนมิตรพัฒนา-มาลีอนุสรณ์,1009,100905,5,13.69166238,100.6193375,เขตพระโขนง,แขวงบางจาก,ชุมชนเมือง,994,โรงพยาบาลรวมใจรักษ์,1717.143925
1590,ชุมชนหมู่บ้านรุ่งเจริญ 2,1009,100905,5,13.67989226,100.6250623,เขตพระโขนง,แขวงบางจาก,ชุมชนเมือง,271,โรงพยาบาลบางนา1,1828.82715
1589,ชุมชนหมู่บ้านรุ่งเจริญ 1,1009,100905,5,13.67982517,100.6366261,เขตพระโขนง,แขวงบางจาก,ชุมชนเมือง,286,โรงพยาบาลไทยนครินทร์,1300.269786
1619,ชุมชนจันทรังษี,1022,102202,5,13.72261172,100.4398236,เขตภาษีเจริญ,แขวงบางด้วน,ชุมชนเมือง,830,โรงพยาบาลมิตรประชา,1481.03747
1058,ชุมชนแฟลต 11-18,1033,103301,6,13.70994658,100.5691402,เขตคลองเตย,แขวงคลองเตย,ชุมชนอาคารสูง,8450,โรงพยาบาลเทพธารินทร์,958.006859
354,ชุมชนซอยเจริญรัถ 12,1018,101804,1,13.726195,100.5014547,เขตคลองสาน,แขวงคลองต้นไทร,ชุมชนแออัด,115,สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา,641.2579117
1312,ชุมชนบ้านม้าเกาะบน,1044,104401,2,13.73953186,100.6749864,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง,427,โรงพยาบาลศิริน,2526.397839
1313,ชุมชนบ้านม้าเกาะล่าง,1044,104401,2,13.73818703,100.6666923,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง,611,โรงพยาบาลศิริน,1654.179208
1314,ชุมชนทับช้างนาลุ่ม,1044,104401,2,13.74801689,100.6912189,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง,853,โรงพยาบาลสิรินธร,3727.886217
1316,ชุมชนคลองทับช้างล่าง,1044,104401,2,13.73558956,100.6871354,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง,673,โรงพยาบาลสิรินธร,2902.999029
1317,ชุมชนทับช้างคลองบน,1044,104401,2,13.74276176,100.6996414,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง,1229,โรงพยาบาลสิรินธร,2841.647783
1321,ชุมชนแสงธรรมคลองมณี,1044,104401,2,13.78709498,100.6932662,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง,564,โรงพยาบาล รามคำแหง 2,1360.377833
1323,ชุมชนวัดลาดบัวขาว (ราชโยธา),1044,104401,2,13.76949577,100.7143064,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง,471,โรงพยาบาล รามคำแหง 2,2640.960848
1324,ชุมชนคลองเจ๊กพัฒนา,1044,104401,2,13.77593883,100.6870454,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง,ไม่พบ,โรงพยาบาลเกษมราษฏร์ รามคำแหง,1203.884798
1325,ชุมชนสามแยกคลองหลอแหล,1044,104401,2,13.7802842,100.7044161,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง,1301,โรงพยาบาล รามคำแหง 2,1249.099631
425,ชุมชนอับดุลเลาะ,1010,101002,2,13.78634844,100.7508286,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนชานเมือง,693,โรงพยาบาลนวมินทร์ 9,4071.005511
191,ชุมชนแฟลต สน.ปทุมวัน,1007,100702,6,13.7366861,100.5227058,เขตปทุมวัน,แขวงวังใหม่,ชุมชนอาคารสูง,407,โรงพยาบาลสมิติเวชไชน่าทาวน์,1102.197811
975,ชุมชนบ้านบางมด,1035,103503,5,13.67537528,100.4621482,เขตจอมทอง,แขวงบางมด,ชุมชนเมือง,601,โรงพยาบาลคูน,371.1034184
1354,ชุมชนภู่ระหงษ์ 2 หมู่ 4,1046,104603,5,13.82493813,100.7000232,เขตคลองสามวา,แขวงบางชัน,ชุมชนเมือง,272,โรงพยาบาลนพรัตน์ราชธานี,1576.115942
1362,ชุมชนเมืองประชา-รามอินทรา,1046,104601,5,13.87579449,100.716065,เขตคลองสามวา,แขวงสามวาตะวันตก,ชุมชนเมือง,8225,โรงพยาบาลรัตนประชารักษ์,5509.095669
1364,ชุมชนหมู่บ้านร่มทิพย์ โครงการ 2,1046,104603,5,13.8577077,100.7187536,เขตคลองสามวา,แขวงบางชัน,ชุมชนเมือง,2000,โรงพยาบาลนวมินทร์ 9,5107.977393
1365,ชุมชนหมู่บ้านเพรชไพลิน,1046,104603,5,13.8276996,100.7032529,เขตคลองสามวา,แขวงบางชัน,ชุมชนเมือง,364,โรงพยาบาลนพรัตน์ราชธานี,2037.486773
1369,ชุมชนหมู่บ้านพร้อมสุข 1,1046,104603,5,13.84052223,100.7243715,เขตคลองสามวา,แขวงบางชัน,ชุมชนเมือง,468,โรงพยาบาลนวมินทร์ 9,3180.435467
1370,ชุมชนหมู่บ้านกรีนวิลล์,1046,104603,5,13.83804374,100.7233635,เขตคลองสามวา,แขวงบางชัน,ชุมชนเมือง,213,โรงพยาบาลนวมินทร์ 9,2905.328372
213,ชุมชนรวมพล,1016,101602,5,13.72495056,100.4769717,เขตบางกอกใหญ่,แขวงวัดท่าพระ,ชุมชนเมือง,355,โรงพยาบาลรัชดา-ท่าพระ,863.4476363
1122,ชุมชนหมู่บ้านเมืองทอง 2/3,1034,103401,5,13.73607769,100.6429241,เขตสวนหลวง,แขวงสวนหลวง,ชุมชนเมือง,4106,โรงพยาบาลวิภาราม,286.2954293
1522,ชุมชนหมู่ 5,1043,104301,5,13.81192993,100.6976536,เขตคันนายาว,แขวงคันนายาว,ชุมชนเมือง,511,โรงพยาบาลนพรัตน์ราชธานี,1182.534523
1621,ชุมชนรุ่งนภา 2,1010,101001,5,13.77880105,100.7406834,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,620,โรงพยาบาลนวมินทร์ 9,4089.010267
1622,ชุมชนบ้านเจียระไน,1010,101002,5,13.83476825,100.7869766,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนเมือง,287,โรงพยาบาลนวมินทร์ 9,7306.249937
1623,ชุมชนหมู่บ้านรินทร์ทอง,1010,101002,5,13.80057834,100.7273515,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนเมือง,5456,โรงพยาบาลนวมินทร์ 9,1303.767468
1625,ชุมชนหมู่บ้านพูนสิน 5,1010,101001,5,13.79495134,100.7177567,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง,ไม่พบ,โรงพยาบาล รามคำแหง 2,1430.741422
1697,ชุมชนปืนหนึ่ง,1002,100206,6,13.79234171,100.532805,เขตดุสิต,แขวงถนนนครไชยศรี,ชุมชนอาคารสูง,423,โรงพยาบาลวิชัยยุทธ,1007.757522
1080,ชุมชนแฟลต 23-24,1033,103301,6,13.70572981,100.5868446,เขตคลองเตย,แขวงคลองเตย,ชุมชนอาคารสูง,1165,โรงพยาบาลกล้วยน้ำไท,914.8701927
1353,ชุมชนนิมิตใหม่พัฒนา หมู่ 12,1046,104602,2,13.90073302,100.7375845,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง,ไม่พบ,โรงพยาบาลรัตนประชารักษ์,1964.094453
355,ชุมชนตรอกงูเห่า,1018,101804,1,13.72352189,100.496565,เขตคลองสาน,แขวงคลองต้นไทร,ชุมชนแออัด,190,สถานพยาบาลนันอา,876.2204153
1356,ชุมชนกมาลุลอิสลาม หมู่ 5,1046,104605,2,13.84430419,100.7769486,เขตคลองสามวา,แขวงทรายกองดินใต้,ชุมชนชานเมือง,777,โรงพยาบาลนวมินทร์ 9,6795.714148
1357,ชุมชนมัสยิดฮิดายาตุ้ลอิสลามมิยะห์ (แสนแสบ),1046,104605,2,13.8443316,100.7631479,เขตคลองสามวา,แขวงทรายกองดินใต้,ชุมชนชานเมือง,850,โรงพยาบาลนวมินทร์ 9,5588.016156
1359,ชุมชนห้าพี่น้องพัฒนา,1046,104605,2,13.85094104,100.7976175,เขตคลองสามวา,แขวงทรายกองดินใต้,ชุมชนชานเมือง,488,โรงพยาบาลเวชการุณย์รัศมิ์,6672.336192
1360,ชุมชนหมู่ 15 พัฒนา,1046,104602,2,13.90373708,100.7772809,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง,925,โรงพยาบาลรัตนประชารักษ์,2711.104821
1361,ชุมชนคลองลำกระดาน,1046,104602,2,13.91844962,100.7348483,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง,707,โรงพยาบาลรัตนประชารักษ์,2174.654126
1363,ชุมชนพระยาสุเรนทร์,1046,104601,2,13.87339473,100.6907727,เขตคลองสามวา,แขวงสามวาตะวันตก,ชุมชนชานเมือง,609,โรงพยาบาลสินแพทย์,5105.029281
1366,ชุมชนประยงค์แย้ม,1046,104603,2,13.82843177,100.6980322,เขตคลองสามวา,แขวงบางชัน,ชุมชนชานเมือง,350,โรงพยาบาลนพรัตน์ราชธานี,1674.971801
1368,ชุมชนบำรุงสุข-บุญมา,1046,104603,2,13.83798089,100.6921722,เขตคลองสามวา,แขวงบางชัน,ชุมชนชานเมือง,2200,โรงพยาบาลอินทรารัตน์,2373.939599
1974,ชุมชนมั่นคง 133,1050,105001,5,13.63732999,100.3713674,เขตบางบอน,แขวงบางบอน,ชุมชนเมือง,307,โรงพยาบาลหลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,3527.810149
2010,ชุมชนดอกไม้,1032,103203,5,13.66968471,100.6876635,เขตประเวศ,แขวงดอกไม้,ชุมชนเมือง,639,โรงพยาบาลเดอะซีพลัส ประเวศ,3485.103571
1399,ชุมชนเคหะชุมชนบางบัว,1041,104102,5,13.8603879,100.5826993,เขตหลักสี่,แขวงตลาดบางเขน,ชุมชนเมือง,1653,สถาบันพัฒนาสุขภาวะเขตเมือง,1994.696071
1400,ชุมชนร่วมกิจกรุงศรีพัฒนา,1041,104101,5,13.89620417,100.5821281,เขตหลักสี่,แขวงทุ่งสองห้อง,ชุมชนเมือง,297,โรงพยาบาลจุฬาภรณ์,1766.746746
1401,ชุมชนแจ้งวัฒนะผาสุข,1041,104101,5,13.88994316,100.5619983,เขตหลักสี่,แขวงทุ่งสองห้อง,ชุมชนเมือง,4600,โรงพยาบาลมงกุฎวัฒนะ,461.4819316
1402,ชุมชนเคหะชุมชนทุ่งสองห้อง 307,1041,104101,5,13.9023901,100.5746381,เขตหลักสี่,แขวงทุ่งสองห้อง,ชุมชนเมือง,352,โรงพยาบาลมงกุฎวัฒนะ,1697.802349
1403,ชุมชนเคหะชุมชนทุ่งสองห้อง 301,1041,104101,5,13.90431168,100.5752156,เขตหลักสี่,แขวงทุ่งสองห้อง,ชุมชนเมือง,217,โรงพยาบาลมงกุฎวัฒนะ,1871.045956
1405,ชุมชนเคหะชุมชนทุ่งสองห้อง 305,1041,104101,5,13.90325637,100.5748661,เขตหลักสี่,แขวงทุ่งสองห้อง,ชุมชนเมือง,258,โรงพยาบาลมงกุฎวัฒนะ,1771.70643
1406,ชุมชนเคหะชุมชนทุ่งสองห้อง 306,1041,104101,5,13.90291537,100.5758816,เขตหลักสี่,แขวงทุ่งสองห้อง,ชุมชนเมือง,605,โรงพยาบาลมงกุฎวัฒนะ,1842.41
1320,ชุมชนสะพานสูงหมู่ 14 พัฒนา,1044,104401,2,13.75206656,100.7055986,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง,487,โรงพยาบาลสิรินธร,3754.922144
1327,ชุมชนแสงมณี,1044,104401,2,13.76593434,100.6921243,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง,536,โรงพยาบาลเกษมราษฏร์ รามคำแหง,2240.162335
512,ชุมชนแผ่นดินทองบาหยัน 2,1003,100302,2,13.86748235,100.8327307,เขตหนองจอก,แขวงหนองจอก,ชุมชนชานเมือง,625,โรงพยาบาลเวชการุณย์รัศมิ์,3066.893353
545,ชุมชนพัฒนาบ้านแบนใหญ่,1003,100305,2,13.82826002,100.823905,เขตหนองจอก,แขวงโคกแฝด,ชุมชนชานเมือง,773,โรงพยาบาลเวชการุณย์รัศมิ์,4956.493339
660,ชุมชนวัดหัวกระบือ,1021,102105,2,13.61650443,100.4490684,เขตบางขุนเทียน,แขวงท่าข้าม,ชุมชนชานเมือง,1955,โรงพยาบาลพิม,4572.535338
893,ชุมชนหมู่บ้านคลองกุ่มนิเวศน์,1027,102701,5,13.78616942,100.668669,เขตบึงกุ่ม,แขวงคลองกุ่ม,ชุมชนเมือง,2973,โรงพยาบาลเกษมราษฏร์ รามคำแหง,1143.635232
1018,ชุมชนหมู่บ้านเพชรสยาม 3,1040,104004,5,13.69515725,100.3926154,เขตบางแค,แขวงหลักสอง,ชุมชนเมือง,1305,โรงพยาบาลบุญญาเวช,1748.778992
1145,ชุมชนคลองจวน,1034,103401,5,13.71652405,100.6337644,เขตสวนหลวง,แขวงสวนหลวง,ชุมชนเมือง,1191,โรงพยาบาลวิภาราม,2378.206197
1235,ชุมชนหมู่ 5 ทุ่งครุ,1049,104902,5,13.62035221,100.5103684,เขตทุ่งครุ,แขวงทุ่งครุ,ชุมชนเมือง,1410,โรงพยาบาลสุขสวัสดิ์,6237.780645
1303,ชุมชนหมู่บ้านฟายน์โฮมส์ 3,1043,104301,5,13.83271405,100.6640516,เขตคันนายาว,แขวงคันนายาว,ชุมชนเมือง,846,โรงพยาบาลเด็กสินแพทย์,260.5991182
1438,ชุมชนพงษ์เพชรพัฒนา,1041,104101,5,13.85944677,100.5475285,เขตหลักสี่,แขวงทุ่งสองห้อง,ชุมชนเมือง,720,โรงพยาบาลศณิสา,592.2878644
1439,ชุมชนหมู่บ้านรัตนชัยวิลล่า,1041,104101,5,13.89469705,100.5831542,เขตหลักสี่,แขวงทุ่งสองห้อง,ชุมชนเมือง,511,โรงพยาบาลจุฬาภรณ์,1638.47649
1440,ชุมชนหมู่บ้านลออทิพย์,1041,104101,5,13.89794939,100.5834168,เขตหลักสี่,แขวงทุ่งสองห้อง,ชุมชนเมือง,588,โรงพยาบาลจุฬาภรณ์,1989.761224
1443,ชุมชนหมู่บ้านแอนเน็กซ์,1042,104201,5,13.93246128,100.6298483,เขตสายไหม,แขวงสายไหม,ชุมชนเมือง,14781,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1312.206543
1444,ชุมชนหมู่บ้านพลายรัตนะ,1042,104201,5,13.93016028,100.6346627,เขตสายไหม,แขวงสายไหม,ชุมชนเมือง,676,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,1802.949309
1445,ชุมชนหมู่บ้านเก้าแสนห้าสัมพันธ์,1042,104201,5,13.92229429,100.6470812,เขตสายไหม,แขวงสายไหม,ชุมชนเมือง,1036,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,3351.40741
1446,ชุมชนหมู่บ้านทัพฟ้า,1042,104201,5,13.9197585,100.6437967,เขตสายไหม,แขวงสายไหม,ชุมชนเมือง,514,โรงพยาบาลภูมิพลอดุลยเดช,3000.34147
723,ชุมชนพระยานคร,1028,102802,5,13.71086893,100.5140055,เขตสาทร,แขวงยานนาวา,ชุมชนเมือง,377,โรงพยาบาลเลิดสิน,1295.068695
652,ชุมชนหัวป่า,1021,102105,2,13.58450432,100.4458797,เขตบางขุนเทียน,แขวงท่าข้าม,ชุมชนชานเมือง,1635,โรงพยาบาลผู้สูงอายุบางขุนเทียน,2733.940817
380,ชุมชนวัดสุทธาโภชน์สุนทรอุปถัมภ์,1011,101105,2,13.73149368,100.8257706,เขตลาดกระบัง,แขวงทับยาว,ชุมชนชานเมือง,1302,โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,3979.299815
415,ชุมชนอันนูรอยน์ (บึงขวาง),1010,101002,2,13.80515632,100.7598196,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนชานเมือง,1309,โรงพยาบาลนวมินทร์ 9,3981.750559
649,ชุมชนศาลเจ้าแม่กวนอิม,1023,102302,2,13.67733877,100.347007,เขตหนองแขม,แขวงหนองแขม,ชุมชนชานเมือง,1284,โรงพยาบาลหลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,2351.123828
1334,ชุมชนเบญจมพัฒนา หมู่ 9,1046,104601,2,13.88076549,100.6914552,เขตคลองสามวา,แขวงสามวาตะวันตก,ชุมชนชานเมือง,340,โรงพยาบาลซีจีเอชสายไหม,4834.620801
1488,ชุมชนประชานุกูล,1042,104201,2,13.91814552,100.6349946,เขตสายไหม,แขวงสายไหม,ชุมชนชานเมือง,1950,โรงพยาบาลภูมิพลอดุลยเดช,2066.598804
1491,ชุมชนสายไหมพัฒนา,1042,104201,2,13.93181624,100.639764,เขตสายไหม,แขวงสายไหม,ชุมชนชานเมือง,651,โรงพยาบาล บี.แคร์ เมดิคอลเซ็นเตอร์,2064.241944
1373,ชุมชนร่วมพลังพัฒนา,1046,104605,2,13.82679536,100.7533318,เขตคลองสามวา,แขวงทรายกองดินใต้,ชุมชนชานเมือง,373,โรงพยาบาลนวมินทร์ 9,3615.915724
985,ชุมชนหลังตลาดวัดไทร,1035,103501,5,13.68971949,100.4562922,เขตจอมทอง,แขวงบางขุนเทียน,ชุมชนเมือง,761,โรงพยาบาลพีเอ็มจีบางขุนเทียน,1789.335319
1068,ชุมชนตลาดท่าเรือคลองเตย,1033,103301,5,13.71852025,100.561292,เขตคลองเตย,แขวงคลองเตย,ชุมชนเมือง,4995,โรงพยาบาลเมดพาร์ค,664.5868535
1110,ชุมชนริมคลองประเวศฝั่งเหนือ,1032,103201,5,13.72423613,100.6726404,เขตประเวศ,แขวงประเวศ,ชุมชนเมือง,784,โรงพยาบาลเดอะซีพลัส ประเวศ,2776.224921
1113,ชุมชนชอุ่ม 2,1032,103202,5,13.67939886,100.6693559,เขตประเวศ,แขวงหนองบอน,ชุมชนเมือง,800,โรงพยาบาลสินแพทย์ ศรีนครินทร์,2230.919342
1311,ชุมชนวังใหญ่พัฒนา,1044,104401,5,13.75072046,100.6791715,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนเมือง,1128,โรงพยาบาลเกษมราษฏร์ รามคำแหง,3155.450985
1355,ชุมชนหมู่บ้านธีรวรรณ,1046,104603,5,13.82125641,100.700459,เขตคลองสามวา,แขวงบางชัน,ชุมชนเมือง,1886,โรงพยาบาลนพรัตน์ราชธานี,1432.396338
1480,ชุมชนเธียรสวนพัฒนา 33,1042,104203,5,13.89546592,100.6392303,เขตสายไหม,แขวงคลองถนน,ชุมชนเมือง,1497,โรงพยาบาลภูมิพลอดุลยเดช,2718.168184
1481,ชุมชนแม่บ้านร่วมใจพัฒนา,1042,104203,5,13.89123138,100.6168375,เขตสายไหม,แขวงคลองถนน,ชุมชนเมือง,666,โรงพยาบาลซีจีเอชโรงพยาบาลทั่วไปขนาดใหญ่,1107.47274
